Date,Clicks,Impressions,CTR,Position
2025-12-06,1,1881,0.05%,36.41
2025-12-05,10,2322,0.43%,38.35
2025-12-04,7,2136,0.33%,29.23
2025-12-03,7,2102,0.33%,23.2
2025-12-02,9,1838,0.49%,15.1
2025-12-01,7,1731,0.4%,18.76
2025-11-30,4,1374,0.29%,17.81
2025-11-29,4,1257,0.32%,15.42
2025-11-28,9,1335,0.67%,15.49
2025-11-27,6,1491,0.4%,18.24
2025-11-26,4,1719,0.23%,19.56
2025-11-25,8,1907,0.42%,17.7
2025-11-24,10,1916,0.52%,18.32
2025-11-23,5,1475,0.34%,18.32
2025-11-22,9,1239,0.73%,17.53
2025-11-21,10,1680,0.6%,17.33
2025-11-20,15,1934,0.78%,19.73
2025-11-19,26,2165,1.2%,17.21
2025-11-18,14,1976,0.71%,15.08
2025-11-17,12,1617,0.74%,12.87
2025-11-16,9,1606,0.56%,13.72
2025-11-15,5,1488,0.34%,14.42
2025-11-14,11,1592,0.69%,13.88
2025-11-13,19,1930,0.98%,13.44
2025-11-12,12,1943,0.62%,12.23
2025-11-11,9,1985,0.45%,12.09
2025-11-10,10,1762,0.57%,11.86
2025-11-09,9,1559,0.58%,15.27
2025-11-08,6,1725,0.35%,15.61
2025-11-07,10,1734,0.58%,13.8
2025-11-06,8,1895,0.42%,13.68
2025-11-05,11,2069,0.53%,15.61
2025-11-04,11,1828,0.6%,13.72
2025-11-03,11,1921,0.57%,14.08
2025-11-02,14,1772,0.79%,16.68
2025-11-01,4,1397,0.29%,16.07
2025-10-31,10,1682,0.59%,15.3
2025-10-30,10,2029,0.49%,14.41
2025-10-29,12,1940,0.62%,14.42
2025-10-28,15,2016,0.74%,15.54
2025-10-27,13,2167,0.6%,13.61
2025-10-26,7,1690,0.41%,15.31
2025-10-25,8,1199,0.67%,14.79
2025-10-24,13,1560,0.83%,13.74
2025-10-23,8,1843,0.43%,15.58
2025-10-22,13,1936,0.67%,16.03
2025-10-21,11,1864,0.59%,12.97
2025-10-20,13,2115,0.61%,12.55
2025-10-19,7,1754,0.4%,14.58
2025-10-18,8,1832,0.44%,14.86
2025-10-17,15,2041,0.73%,12.84
2025-10-16,15,2274,0.66%,12.24
2025-10-15,12,2346,0.51%,13.2
2025-10-14,11,2114,0.52%,12.61
2025-10-13,10,2077,0.48%,12.15
2025-10-12,4,1716,0.23%,14.57
2025-10-11,6,1940,0.31%,17.08
2025-10-10,9,1994,0.45%,13.92
2025-10-09,12,2110,0.57%,10.81
2025-10-08,10,2257,0.44%,10.24
2025-10-07,12,2487,0.48%,11.89
2025-10-06,12,2272,0.53%,14.24
2025-10-05,9,1908,0.47%,15.03
2025-10-04,5,1911,0.26%,19.5
2025-10-03,12,2091,0.57%,15.3
2025-10-02,14,2228,0.63%,14.03
2025-10-01,12,2028,0.59%,12.91
2025-09-30,12,2176,0.55%,14.96
2025-09-29,19,4262,0.45%,7.31
2025-09-28,5,4362,0.11%,7.27
2025-09-27,8,4515,0.18%,10.5
2025-09-26,13,2239,0.58%,16.03
2025-09-25,17,2355,0.72%,16.89
2025-09-24,14,2415,0.58%,15.17
2025-09-23,15,2291,0.65%,14.15
2025-09-22,18,2361,0.76%,15.41
2025-09-21,8,2237,0.36%,20.79
2025-09-20,15,2156,0.7%,20.84
2025-09-19,15,2282,0.66%,16.07
2025-09-18,12,2282,0.53%,15.46
2025-09-17,20,2335,0.86%,16.04
2025-09-16,7,2547,0.27%,19.92
2025-09-15,14,2273,0.62%,15.79
2025-09-14,12,2047,0.59%,25.15
2025-09-13,6,2029,0.3%,18.05
2025-09-12,11,2476,0.44%,22.45
2025-09-11,13,3304,0.39%,32.25
2025-09-10,16,3445,0.46%,32.69
2025-09-09,15,4342,0.35%,33.27
2025-09-08,11,4478,0.25%,34
2025-09-07,13,4640,0.28%,37.94
